,0
JD,2459913
Date,11-29-2022
LST Range,0.061 -- 10.023 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,1851
Total Number of Antennas,200
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 3 dish_ok: 1 RF_maintenance: 49 RF_ok: 15 digital_maintenance: 3 digital_ok: 105 not_connected: 24
Commanded Signal Source,None
Antennas in Commanded State (reported),0 / 200 (0.0%)
Antennas in Commanded State (observed),0 / 200 (0.0%)
Cross-Polarized Antennas,
Total Number of Nodes,18
Nodes Registering 0s,
Nodes Not Correlating,
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,57 / 200 (28.5%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,131 / 200 (65.5%)
Redcal Done?,N
Never Flagged Antennas,69 / 200 (34.5%)
A Priori Good Antennas Flagged,"60 / 105 total a priori good antennas: 3, 7, 9, 15, 19, 21, 29, 30, 37, 38, 42, 45, 51, 53, 54, 55, 56, 66, 68, 71, 81, 86, 93, 94, 101, 103, 109, 111, 116, 121, 122, 123, 128, 136, 140, 142, 143, 146, 147, 151, 152, 153, 158, 161, 164, 165, 167, 169, 170, 173, 181, 182, 183, 185, 187, 189, 191, 192, 193, 202"
A Priori Bad Antennas Not Flagged,"24 / 95 total a priori bad antennas: 22, 35, 43, 46, 62, 73, 77, 79, 82, 89, 90, 95, 115, 120, 125, 132, 137, 138, 139, 220, 221, 238, 324, 325"
