,Ant,Node,A Priori Status,Auto Metrics Flags,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score
0,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_3_report.html"" target=""_blank"">3</a>",N01,digital_ok,0.0,1.0280979285981497,-0.8867780439741632,-0.6142882876737474,-0.8688302847916641,-0.2724875329590196,-1.2250771637928637,-0.7532965643562741,-0.6651618282173742
1,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_4_report.html"" target=""_blank"">4</a>",N01,RF_maintenance,0.0,-0.3075052049331775,3.257683085196036,-0.5211047349409504,1.630455402279654,-0.5475781695502628,-0.8175757372746065,0.2692977611271399,-0.19183143179024245
2,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_5_report.html"" target=""_blank"">5</a>",N01,digital_ok,1.0,-0.05045550718067008,0.495540830199703,-0.6059393761508961,4.241222539527543,-0.5518366949024861,2.2362818067713617,-0.2427041745768407,-1.663780935825893
3,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_7_report.html"" target=""_blank"">7</a>",N02,digital_ok,1.0,-1.2192681397731933,-1.0445995633558791,0.9507371030742567,0.7872816259530375,0.007620876222652251,0.3478457380108069,-0.30835920986308757,6.011210330734942
4,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_8_report.html"" target=""_blank"">8</a>",N02,RF_maintenance,1.0,15.731093741046978,16.075400795409998,18.458688578054545,18.942022316955747,23.963423601402276,25.608523233075132,14.55160978015798,12.636770880769191
5,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_9_report.html"" target=""_blank"">9</a>",N02,digital_ok,0.0,-0.23677569191008258,-0.8264353857230754,-0.047485395454018524,-0.12714413359338061,0.45334851963828915,0.789229108597136,0.5506559059996514,2.292016052409857
6,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_10_report.html"" target=""_blank"">10</a>",N02,digital_ok,0.0,0.19924757877317592,-1.0796632078426573,-0.5618859419523365,0.5150143446679833,-0.7046751454201188,0.6258255954967379,1.4702528224492049,0.8456151299271443
7,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_15_report.html"" target=""_blank"">15</a>",N01,digital_ok,0.0,0.6198634544950014,1.351171559909554,-0.7431699286532975,-0.6473244249281802,-0.4806942715540556,-0.1281033216697339,1.5223328052944005,1.2150171262855065
8,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_16_report.html"" target=""_blank"">16</a>",N01,digital_ok,0.0,0.02786446397876602,-0.9946882049344636,-0.31220775517639343,-0.7921345802607722,0.056907175275373485,-0.8279014634950089,3.6004939281353097,0.6867230113562282
9,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_17_report.html"" target=""_blank"">17</a>",N01,digital_ok,0.0,-0.011050213440214372,1.0113349268394571,0.8373140392517109,0.9958508987228233,1.0007280244023111,2.908148213839671,3.4662249799668383,2.8335958173454783
