,Ant,Node,A Priori Status,Auto Metrics Flags,Flag Fraction Before Redcal,Flagged By Redcal chi^2 Fraction,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Median chi^2 Per Antenna (Jee),Median chi^2 Per Antenna (Jnn)
0,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_3_report.html"" target=""_blank"">3</a>",N01,digital_ok,1.0,1.0,0.0,190.7716387887843,190.69296874219836,inf,inf,2234.2380958329527,2236.246760742054,4906.128935962422,4886.630178832887,0.0,0.0
1,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_4_report.html"" target=""_blank"">4</a>",N01,RF_maintenance,1.0,1.0,0.0,198.14605419181004,195.23181175491283,inf,inf,3160.98519199839,3232.9199457197165,5948.164155519633,6352.920520869661,0.0,0.0
2,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_5_report.html"" target=""_blank"">5</a>",N01,digital_ok,1.0,1.0,0.0,328.58337779470764,329.0896551862782,inf,inf,5467.03426390127,5432.682885498572,8163.88965344153,8090.803548632727,0.0,0.0
3,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_7_report.html"" target=""_blank"">7</a>",N02,digital_ok,1.0,1.0,0.0,-1.2173557762058473,-0.8332849249092589,0.036548299210432365,-0.4755608012615268,8.440015217950892,8.343996350201872,10.873895901236576,29.845771324207934,15.024693012237549,8.09360671043396
4,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_8_report.html"" target=""_blank"">8</a>",N02,RF_maintenance,1.0,1.0,0.0,6.417580584938296,4.377690270167314,23.20656826851063,23.808236471194792,10.678484966891332,14.645146484837007,13.661605370672532,9.839828041729827,24.72951364517212,12.185421705245972
5,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_9_report.html"" target=""_blank"">9</a>",N02,digital_ok,1.0,1.0,0.0,0.31357818182267533,-0.5415849540371687,-0.24939239634906502,-0.25537780567857443,11.703866034711732,11.362589844376918,20.766665239425446,21.377314502540937,0.9672226160764694,0.9661604762077332
6,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_10_report.html"" target=""_blank"">10</a>",N02,digital_ok,1.0,1.0,0.0,1.765148620851846,-0.43130071264907033,-0.767454180703887,0.2293552263820664,7.922094921305188,7.81027034555118,14.674376423045757,13.410153805514947,1.0045459866523743,0.9920908212661743
7,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_15_report.html"" target=""_blank"">15</a>",N01,digital_ok,1.0,1.0,0.0,0.04523477467222817,0.37360983264943465,1.306874815364708,0.3417035863567406,7.881001286930455,7.8606675164142645,14.628566091287171,15.077525677421331,2.9231942296028137,2.8560876846313477
8,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_16_report.html"" target=""_blank"">16</a>",N01,digital_ok,1.0,1.0,0.0,-1.3626132833719184,0.6211759865091905,0.08536867171104241,-0.9429371977973066,4.767339567945924,5.140214530522615,6.539800584324551,7.427482037030075,5.163885474205017,5.693215370178223
9,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_17_report.html"" target=""_blank"">17</a>",N01,digital_ok,1.0,1.0,0.0,-0.4960698222302316,0.6955781414626616,0.45161595466289617,0.6090632306895294,6.699530797686806,7.588786013954969,13.178537741116738,17.476809419512286,4.327889800071716,4.522663354873657
