,Ant,Node,A Priori Status,Auto Metrics Flags,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,Flag Fraction Before Redcal,Flagged By Redcal chi^2 Fraction,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric,Median chi^2 Per Antenna (Jee),Median chi^2 Per Antenna (Jnn)
0,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_3_report.html"" target=""_blank"">3</a>",N01,digital_ok,1.0,1.0,1.0,0.0,1.0,0.0,,,inf,inf,,,,,,,,0.0,0.0
1,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_4_report.html"" target=""_blank"">4</a>",N01,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,,,inf,inf,,,,,,,,0.0,0.0
2,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_5_report.html"" target=""_blank"">5</a>",N01,digital_ok,1.0,1.0,1.0,0.0,1.0,0.0,,,inf,inf,,,,,,,,0.0,0.0
3,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_7_report.html"" target=""_blank"">7</a>",N02,digital_ok,1.0,1.0,1.0,0.0,1.0,0.0,-0.7329170258259246,-1.3210088645041371,-0.013167988394682086,-0.45071368933272354,1.769549924999165,1.5221772462185952,1.6563520356461077,14.052473152640117,0.054206910614558415,0.06369643891442427,0.012693402758390863,1.2838079035282135,1.2764574885368347
4,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_8_report.html"" target=""_blank"">8</a>",N02,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,12.123883893989987,13.586280819471758,21.230958750374803,21.56974971202801,26.025623784025438,24.480598407051918,-0.36578585577683903,-3.8272637552920905,0.10392318123590444,0.07829838877153174,0.011260001748927861,1.2740993201732635,1.2678825557231903
5,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_9_report.html"" target=""_blank"">9</a>",N02,digital_ok,0.0,1.0,1.0,0.0,1.0,0.0,-0.06900631836182405,-1.692422132839971,-0.46505582054270206,-0.3570827693093518,-0.904683476561254,-0.5036099667770035,-0.4065613362399626,0.6801508242908848,0.07385087912730472,0.05077594720014204,0.005025315814925663,1.2453791201114655,1.2436514794826508
6,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_10_report.html"" target=""_blank"">10</a>",N02,digital_ok,0.0,1.0,1.0,0.0,1.0,0.0,-1.7437472374252154,-0.6105719196756558,-0.8824000250502424,-0.45611962796523775,-0.509706639204069,1.3241963298166393,0.7241704986878057,0.30061441937929034,0.0914674761546518,0.06489873672321098,0.011956212040876428,1.3030721545219421,1.300018072128296
7,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_15_report.html"" target=""_blank"">15</a>",N01,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,0.47130025682839777,0.9673118037083138,1.1016187847717531,0.6203001663178395,-0.853728940849347,-0.6323359869788727,-0.27404415369429763,0.3017895897858244,0.8008135211576245,0.4955073789727272,0.6046474824047369,1.6520480513572693,1.4811652600765228
8,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_16_report.html"" target=""_blank"">16</a>",N01,digital_ok,1.0,0.0,0.0,0.0,1.0,0.0,-0.9127443291482797,-1.2418115404544663,-0.48486473651321194,-1.181647257322492,-0.851416949014806,-0.4025181543635763,4.983457820448388,2.1441208696929244,0.8031320560709531,0.49873414611583405,0.5978311136710032,4.898170113563538,6.4854975938797
9,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_17_report.html"" target=""_blank"">17</a>",N01,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,-0.7699275534420654,-0.10616359046407035,0.3025708364157917,0.5164301496252245,0.3200290578046984,-0.34208621482132096,3.1882113883081473,0.1894080719292219,0.8043726620366917,0.5003965510674201,0.6065295973835466,1.6349614560604095,1.369350552558899
10,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_18_report.html"" target=""_blank"">18</a>",N01,RF_maintenance,1.0,0.0,1.0,0.0,1.0,0.0,9.63817213695951,13.64149629570564,3.4872056120663695,0.800518096975769,5.840405834037169,5.574747244491229,21.135156765751592,64.47593617842384,0.7775234387849411,0.27340371253640533,0.6461464648978701,4.082016229629517,2.322767972946167
11,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_19_report.html"" target=""_blank"">19</a>",N02,digital_ok,1.0,1.0,1.0,0.0,1.0,0.0,-1.1136853093331642,-1.518016308782773,2.0237751440826424,0.5471962788661255,0.3919387162881057,5.55087364959069,18.401282251860867,14.541125282309311,0.06294771163123923,0.06496410700624512,0.010922993197282406,1.3195037543773651,1.3079945743083954
12,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_20_report.html"" target=""_blank"">20</a>",N02,digital_ok,0.0,1.0,1.0,0.0,1.0,0.0,-2.546923414813135,1.8189323377855808,-0.6300422272306648,-0.08528503789066406,-0.966145260250263,0.33970790124921146,0.6847040692612708,-0.062051638780509843,0.06698514684706665,0.05424816942020917,0.005479890776791407,1.1871019005775452,1.1859570443630219
13,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_21_report.html"" target=""_blank"">21</a>",N02,digital_ok,1.0,1.0,1.0,0.0,1.0,0.0,1.8589751773812813,-1.2824843310729122,0.7994910780569952,1.494284392753764,-0.4146271379319209,1.994670315934694,2.635912544059374,12.512507364100173,0.0809734323969276,0.06771210215598192,0.011534070219192564,1.2719304263591766,1.2705183029174805
14,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_27_report.html"" target=""_blank"">27</a>",N01,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,32.32582963883538,34.34373334452726,35.891200076189854,36.98150660001899,39.89536854282894,35.942978514157225,7.056711760200394,4.775750373064498,0.03700414851749227,0.039354008457829784,0.002182679617756953,1.315233200788498,1.2987651526927948
15,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_28_report.html"" target=""_blank"">28</a>",N01,RF_maintenance,1.0,0.4032258064516129,1.0,0.0,1.0,0.0,22.04543817087105,41.4033992111877,0.26263690754698804,1.4837386695882786,26.19977649315806,29.853513650626237,6.505123145211177,50.34592223679793,0.40307285211040017,0.16119576031537047,0.28710099102976794,7.570242762565613,2.9473345279693604
16,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_29_report.html"" target=""_blank"">29</a>",N01,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,-1.446546404201495,-0.4140193302933942,-0.017743010230818586,-0.30512991062135325,-0.49406931144100086,-1.4948807503277923,-0.09923666828462159,0.6354197835078086,0.8085099938816271,0.5080308788348633,0.5974074866280181,1.6110079288482666,1.3043076694011688
