,Ant,Node,A Priori Status,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric
0,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_3_report.html"" target=""_blank"">3</a>",N01,digital_ok,1.0,1.0,0.0,0.03205602243106917,0.032159930487787564,0.0012475219610919813
1,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_4_report.html"" target=""_blank"">4</a>",N01,RF_maintenance,1.0,1.0,0.0,0.043953958347160225,0.03699587390010556,0.001747940989426693
2,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_5_report.html"" target=""_blank"">5</a>",N01,digital_ok,1.0,1.0,0.0,0.04966870447602115,0.041791992900474965,0.0029450629338721676
3,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_7_report.html"" target=""_blank"">7</a>",N02,digital_ok,1.0,1.0,0.0,0.09376366298521241,0.06439547088363969,0.014045982046186132
4,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_8_report.html"" target=""_blank"">8</a>",N02,RF_maintenance,0.0644468313641246,0.44575725026852847,0.0,0.6066017134688236,0.4506632229474588,0.4262108425912909
5,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_9_report.html"" target=""_blank"">9</a>",N02,digital_ok,1.0,1.0,0.0,0.09421172045647658,0.061368479524343836,0.013755555429118233
6,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_10_report.html"" target=""_blank"">10</a>",N02,digital_ok,1.0,1.0,0.0,0.03525763376627622,0.03829093783434835,0.0029542849834376965
7,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_15_report.html"" target=""_blank"">15</a>",N01,digital_ok,1.0,1.0,0.0,0.03450429641194107,0.034286878106970765,0.0007667342464207933
8,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_16_report.html"" target=""_blank"">16</a>",N01,digital_ok,1.0,1.0,0.0,0.03440546318400385,0.034661281956556975,0.0012000768526372134
9,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_17_report.html"" target=""_blank"">17</a>",N01,digital_ok,1.0,1.0,0.0,0.033975631571446126,0.03334994165414045,0.00043801350800397993
10,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_18_report.html"" target=""_blank"">18</a>",N01,RF_maintenance,1.0,1.0,0.0,0.03780625080137884,0.04213856495761996,0.0010576439689922094
11,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_19_report.html"" target=""_blank"">19</a>",N02,digital_ok,1.0,1.0,0.0,0.040853925754988515,0.05025317641142354,0.005140162807683284
12,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_20_report.html"" target=""_blank"">20</a>",N02,digital_ok,1.0,1.0,0.0,0.04058867652251398,0.045694620769145,0.004128937050108532
13,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_21_report.html"" target=""_blank"">21</a>",N02,digital_ok,1.0,1.0,0.0,0.03490511502459799,0.03871136519011084,0.0028851651515901227
14,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_27_report.html"" target=""_blank"">27</a>",N01,RF_maintenance,1.0,1.0,0.0,0.03466066699266281,0.03555692603645517,0.0005552001671643383
15,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_28_report.html"" target=""_blank"">28</a>",N01,RF_maintenance,1.0,1.0,0.0,0.04056333609088429,0.040459278444516085,0.001774481467458824
16,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_29_report.html"" target=""_blank"">29</a>",N01,digital_ok,1.0,1.0,0.0,0.0365819741916172,0.041435556998486146,0.001349748892106645
17,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_30_report.html"" target=""_blank"">30</a>",N01,digital_ok,1.0,1.0,0.0,0.03795161596244939,0.03750486901282679,0.002308344823904403
18,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_31_report.html"" target=""_blank"">31</a>",N02,digital_ok,1.0,1.0,0.0,0.03219434734731746,0.03577634040717333,0.0021996429772196103
19,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_32_report.html"" target=""_blank"">32</a>",N02,RF_maintenance,1.0,1.0,0.0,0.03258406690648619,0.03751975154369397,0.0008416634290326045
20,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_33_report.html"" target=""_blank"">33</a>",N02,RF_maintenance,1.0,1.0,0.0,0.0779712484095839,0.050183211764539826,0.009019060084731674
21,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_36_report.html"" target=""_blank"">36</a>",N03,RF_maintenance,1.0,1.0,0.0,0.03135483596046183,0.03165553248417615,0.0009010262592232627
22,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_37_report.html"" target=""_blank"">37</a>",N03,digital_ok,1.0,1.0,0.0,0.03150758412768438,0.031170954427881762,0.002781842191056621
23,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_38_report.html"" target=""_blank"">38</a>",N03,digital_ok,1.0,1.0,0.0,0.03037841581957088,0.03254135786684588,0.0011517186195775058
24,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_40_report.html"" target=""_blank"">40</a>",N04,digital_ok,0.0,0.17185821697099893,0.0,0.6334954466825726,0.5107390121483676,0.3957394458233213
25,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_41_report.html"" target=""_blank"">41</a>",N04,digital_ok,1.0,1.0,0.0,0.03558440812709706,0.036004272741694626,0.0016545872052246907
26,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_45_report.html"" target=""_blank"">45</a>",N05,digital_ok,1.0,1.0,0.0,0.03140119936952146,0.03496831463509398,0.0015306465814566208
27,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_46_report.html"" target=""_blank"">46</a>",N05,digital_ok,1.0,1.0,0.0,0.030572366885949127,0.03214846692173051,0.0008685644541598514
28,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_50_report.html"" target=""_blank"">50</a>",N03,RF_maintenance,1.0,1.0,0.0,0.03093942442399917,0.030882521231418623,0.000483565275314354
29,"<a href=""https://htmlpreview.github.io/?https://github.com/HERA-Team/H6C_Notebooks/blob/main/antenna_report/antenna_51_report.html"" target=""_blank"">51</a>",N03,digital_ok,1.0,1.0,0.0,0.030955511111816558,0.031702400623169764,0.0010149639940735715
