Ant,Node,Snap,Full nn,Full ee,50-85 MHz nn,50-85 MHz ee,120-155 MHz nn,120-155 MHz ee,155-190 MHz nn,155-190 MHz ee,190-225 MHz nn,190-225 MHz ee
3,1,2,,,,,,,,,,
4,1,2,,,,,,,,,,
5,1,2,,,,,,,,,,
7,2,0,0.9260431577742174,0.9884249394595457,1.4600367299605068,2.6189076593393517,1.9737798794044061,2.1082424841937297,1.8414720398012572,1.8750448942212825,1.9282811879723063,3.4648571944882574
8,2,0,2.467881884759817,14.349116746587192,13.392438449259615,27.5331223770876,4.538962536756517,56.76227970953417,4.669973568955012,73.6772571726474,7.065249597483972,84.66680352788467
9,2,0,0.9008301024292562,0.951089030786588,3.5394494104908136,1.2794799030844974,1.9462263252547738,1.8692117192749929,1.8784734570365929,1.8846394420529975,1.5658380118256288,1.7235670628538953
10,2,1,0.9309858257032806,1.0341797211015016,1.4492976385611414,1.5340619632296766,1.8949225035319048,2.0835130059583227,1.6956261858658928,2.2379145909781424,1.688377325025892,2.1206312932589753
15,1,3,1.1491673469374373,1.2357092554984017,1.4580531785541824,1.550554110866471,2.0860584228100127,2.063389124791861,1.9832276916373237,1.7287573486937606,3.371769769162332,2.708341996460791
16,1,3,0.8966752423376064,1.1071398209304018,1.4594192851114922,1.346372276685022,2.022652515161062,1.9807881655295936,1.8346110940429943,1.8915758663882891,4.702971165842585,2.077383214609713
17,1,3,0.9417468018586056,1.1609034465862373,1.5839102806862089,1.4094874510825175,2.069695229093299,2.14332003199666,1.6115899470938577,1.6571106730316032,1.6900494155094585,1.8616081130140418
18,1,0,58.35796042789376,18.398676102732054,2.615531126153419,2.039934094786185,267.1117946983941,68.97432852846352,1.4819880966012655,1.5407499335597161,1.4445652756464116,1.6247497366409043
19,2,1,1.0182528673081688,1.074989841373485,1.4600005358631851,1.6639450039631056,1.965658736525474,1.8372683136193955,1.7167441468013795,1.7003994456676292,1.529581207699426,3.2586452388327
20,2,1,0.9106034304009156,1.030024884074335,1.3492715590480855,1.3803335494860216,1.9710473647206137,1.952855275943565,1.6144067212038287,1.6491149233795221,1.5846402826438568,1.6985752514056776
21,2,2,0.8917503065698378,0.8162072668085771,1.364756585700456,1.4686196692363864,1.9064450779685407,1.9796863174713426,1.8431104103868003,1.9410528546127053,1.7271162249898013,1.9791733734086072
27,1,0,2.5463916562164126,2.6430891777062615,6.448811539895102,13.622587152648952,13.101497310980362,6.2356945176551974,3.651976937265007,2.224347144820928,3.7184960448977704,2.310139336946428
28,1,0,45.92084100132732,1.5893441177240883,2.402819283562287,1.4918098106715296,228.17226035674094,2.45224372002336,1.7043626692955431,2.1682319411950863,2.1004219141299534,3.2101143440276094
29,1,1,1.401592270566794,0.990297021573136,3.3148904487723705,1.4057073281247274,2.7455669069104,1.8239415781814536,2.967487276471536,2.375265744449781,4.964031544060569,2.975987669534774
30,1,1,0.9867221817340588,1.052032210396888,1.3167213978468,1.4295738372879985,1.6225473156266164,1.8438760240146153,2.03804556324344,2.6225596506065725,2.8234350145632554,6.255224180271087
31,2,2,0.9441474959728884,1.3387153500639362,1.1920734649033042,1.3631270440084606,1.7885425364429932,2.047337439388986,2.20868161248677,4.972477900116526,2.48636002192846,7.514959781652289
32,2,2,1.7190480779179043,1.4978568100866978,1.3739831987709878,0.8851878796093654,2.7296882669569427,2.48152119192747,5.495534651099413,5.4837291221183175,5.121258970189781,5.980190675693287
